sub_id,betaCol_1,betaCol_2,betaMot_1,betaMot_2,col_1,col_2,col_3,col_4,mot_1,mot_2,mot_3,mot_4,pedaldist,col_p_c_r,col_coh,mot_p_c_r,mot_coh,S
21,-5.70992415846313,11.9843481541655,0.0522937885508868,9.03383547059564,0,0.318,0.635,0.953,-0.638,-0.216,0.205,0.626,5.65132647349941e-09,"[0,0,0.12,0.36,0.52,0.32,0.8,0.72,0.92,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.08,0.32,0.48,0.64,0.84,0.76,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[5.6513265178637084E-9,0.028500180361933025,0.971499819638067,0.99999999434867348]"
22,-6.65211441447732,13.9719707717446,0.362223241714565,7.72699921795838,0,0.317,0.635,0.952,-0.908,-0.334,0.24,0.814,1.44455980247894e-11,"[0,0,0.04,0.32,0.44,0.56,0.76,0.88,0.8,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0,0.12,0.44,0.52,0.8,0.88,0.96,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.4445555862607762E-11,0.013298856328662123,0.98670114367133788,0.99999999998555444]"
23,-5.10578359740501,11.0694992638385,-0.12035060707375,5.55787987476783,0,0.307,0.615,0.923,-0.897,-0.285,0.328,0.94,1.64713259405294e-07,"[0,0,0.32,0.28,0.48,0.52,0.8,0.76,0.92,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.12,0.24,0.2,0.4,0.56,0.48,0.76,0.92,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.64713259365179E-7,0.044384445662287941,0.95561555433771217,0.99999983528674063]"
24,-4.27747538892443,8.47709748195744,0.110434845169296,9.21864120076396,0.009,0.339,0.67,1,-0.468,-0.164,0.14,0.444,1.33680416982696e-05,"[0,0,0.04,0.24,0.32,0.48,0.56,0.68,0.72,0.96,1,0.96]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.08,0.16,0.16,0.32,0.64,0.92,0.88,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.336804169826955E-5,0.080775521914453474,0.91922447808554653,0.99998663195830173]"
25,-7.0236558554004,15.0249106862091,0.0999327748272432,4.44856168176803,0.178,0.371,0.564,0.757,-1,-0.348,0.303,0.955,6.84956441771558e-06,"[0,0,0.08,0.28,0.48,0.6,0.84,0.92,0.88,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0.08,0,0,0.04,0.08,0.24,0.84,0.92,0.92,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[6.8495644177657411E-6,0.07359300482091502,0.926406995179085,0.99999315043558223]"
26,-3.38076870890366,6.23097253780905,0.0319327485949348,5.1447256527726,0.085,0.39,0.695,1,-0.56,-0.191,0.178,0.548,0.00218456099322362,"[0,0.12,0.16,0.04,0.28,0.32,0.24,0.52,0.68,0.88,0.96,0.96]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.08,0.2,0.08,0.24,0.76,0.92,0.96,0.96,1,0.96]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.0021845609932236165,0.17103886533910218,0.82896113466089782,0.99781543900677638]"
27,-4.2541071880842,10.1417146538822,0.448344620815992,5.27187239094342,0,0.28,0.559,0.839,-0.892,-0.354,0.184,0.722,1.04942375452645e-05,"[0,0.08,0.24,0.6,0.68,0.8,0.88,0.84,0.88,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.32,0.4,0.4,0.64,0.68,0.84,0.88,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.0494237545288776E-5,0.0780901668234536,0.9219098331765464,0.99998950576245471]"
28,-2.58312024606007,5.79186216422756,-0.0786063250542222,4.15637174352749,0,0.297,0.595,0.892,-0.603,-0.188,0.226,0.64,0.00489555955161124,"[0.04,0.04,0.32,0.52,0.44,0.6,0.76,0.64,0.84,0.88,0.92,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.2,0.32,0.48,0.28,0.48,0.52,0.64,0.84,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.0048955595516112504,0.19460798388894562,0.80539201611105438,0.99510444044838875]"
29,-8.20307382953602,16.092048715395,0.0680659799210548,4.3743032052822,0.242,0.421,0.599,0.777,-1,-0.344,0.313,0.969,8.3027488072947e-06,"[0,0,0.04,0.08,0.16,0.4,0.56,0.68,0.8,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.12,0.4,0.52,0.52,0.44,0.64,0.72,0.84,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[8.3027488072540123E-6,0.075584806074725508,0.92441519392527449,0.99999169725119275]"
30,-7.44692588826625,14.5221363165156,-0.183506117842632,7.70583375302283,0.026,0.35,0.675,1,-0.894,-0.282,0.33,0.942,7.46069872548105e-13,"[0,0,0,0.28,0.12,0.28,0.68,0.6,0.68,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.12,0.24,0.32,0.56,0.72,0.76,0.92,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[7.460698725481052E-13,0.0091768034840810087,0.990823196515919,0.99999999999925393]"
