ED,subno
2.82842712474619,2
2.23606797749979,2
1.4142135623731,2
3.16227766016838,2
1.4142135623731,2
1.4142135623731,2
2.82842712474619,2
1.4142135623731,2
2.23606797749979,2
2.82842712474619,2
1.4142135623731,2
2.23606797749979,2
3.16227766016838,2
2.82842712474619,2
2.23606797749979,2
3.16227766016838,2
3.16227766016838,2
2.23606797749979,2
1.4142135623731,2
2.82842712474619,2
1.4142135623731,2
1.4142135623731,2
1.4142135623731,2
2.82842712474619,2
2.23606797749979,2
3.60555127546399,2
2.23606797749979,2
2.23606797749979,2
3.16227766016838,2
3.16227766016838,2
2.23606797749979,2
1.4142135623731,2
1.4142135623731,2
2.23606797749979,2
2.23606797749979,2
1.4142135623731,2
2.23606797749979,2
3.60555127546399,2
2.82842712474619,2
2.82842712474619,2
2.23606797749979,2
2.23606797749979,2
1.4142135623731,2
3.60555127546399,2
3.16227766016838,2
2.82842712474619,2
2.23606797749979,2
2.23606797749979,2
1.4142135623731,2
2.82842712474619,2
1.4142135623731,2
2.23606797749979,2
2.23606797749979,2
2.82842712474619,2
3.60555127546399,2
3.16227766016838,2
2.23606797749979,2
3.60555127546399,2
3.60555127546399,2
2.82842712474619,2
1.4142135623731,2
3.16227766016838,2
1.4142135623731,2
3.60555127546399,2
1.4142135623731,2
2.82842712474619,2
2.82842712474619,2
1.4142135623731,2
2.82842712474619,2
2.82842712474619,2
2.82842712474619,2
2.23606797749979,2
3.60555127546399,2
3.16227766016838,2
1.4142135623731,2
2.23606797749979,2
1.4142135623731,2
3.60555127546399,2
3.16227766016838,2
3.16227766016838,2
2.23606797749979,2
2.23606797749979,2
2.82842712474619,2
2.23606797749979,2
2.23606797749979,2
2.23606797749979,2
3.16227766016838,2
2.23606797749979,2
3.16227766016838,2
4.24264068711928,2
2.23606797749979,2
3.60555127546399,2
2.23606797749979,2
1.4142135623731,2
1.4142135623731,2
2.82842712474619,2
2.82842712474619,2
2.82842712474619,2
1.4142135623731,2
2.82842712474619,2
3.16227766016838,2
3.16227766016838,2
2.82842712474619,2
2.82842712474619,2
3.60555127546399,2
2.23606797749979,2
2.23606797749979,2
2.23606797749979,2
3.16227766016838,2
3.60555127546399,2
2.82842712474619,2
1.4142135623731,2
2.23606797749979,2
3.16227766016838,2
3.60555127546399,2
4.24264068711928,2
3.16227766016838,2
2.23606797749979,2
2.23606797749979,2
2.82842712474619,2
2.82842712474619,2
2.82842712474619,2
3.16227766016838,2
3.16227766016838,2
2.23606797749979,2
2.23606797749979,2
2.82842712474619,2
4.24264068711928,2
4.24264068711928,2
2.23606797749979,2
1.4142135623731,2
1.4142135623731,2
1.4142135623731,2
3.60555127546399,2
1.4142135623731,2
2.23606797749979,2
3.16227766016838,2
1.4142135623731,2
2.82842712474619,2
2.23606797749979,2
1.4142135623731,2
2.82842712474619,2
2.23606797749979,2
2.23606797749979,2
2.23606797749979,2
1.4142135623731,2
2.23606797749979,2
2.23606797749979,2
2.23606797749979,2
1.4142135623731,2
1.4142135623731,2
3.16227766016838,2
2.23606797749979,2
1.4142135623731,2
1.4142135623731,2
3.60555127546399,2
2.23606797749979,2
2.82842712474619,2
3.16227766016838,2
3.60555127546399,2
2.82842712474619,3
2.23606797749979,3
3.16227766016838,3
2.23606797749979,3
1.4142135623731,3
1.4142135623731,3
2.23606797749979,3
1.4142135623731,3
2.23606797749979,3
1.4142135623731,3
1.4142135623731,3
3.16227766016838,3
2.82842712474619,3
1.4142135623731,3
2.23606797749979,3
1.4142135623731,3
2.23606797749979,3
2.82842712474619,3
2.23606797749979,3
2.82842712474619,3
3.16227766016838,3
3.16227766016838,3
2.23606797749979,3
3.60555127546399,3
2.82842712474619,3
3.16227766016838,3
1.4142135623731,3
2.23606797749979,3
1.4142135623731,3
1.4142135623731,3
3.16227766016838,3
1.4142135623731,3
3.16227766016838,3
1.4142135623731,3
3.16227766016838,3
3.16227766016838,3
4.24264068711928,3
3.60555127546399,3
2.23606797749979,3
2.82842712474619,3
3.16227766016838,3
3.60555127546399,3
1.4142135623731,3
2.82842712474619,3
2.23606797749979,3
2.23606797749979,3
3.60555127546399,3
2.23606797749979,3
3.60555127546399,3
2.23606797749979,3
2.23606797749979,3
4.24264068711928,3
2.82842712474619,3
2.23606797749979,3
4.24264068711928,3
1.4142135623731,3
1.4142135623731,3
3.16227766016838,3
2.82842712474619,3
2.23606797749979,3
2.23606797749979,3
1.4142135623731,3
1.4142135623731,3
3.16227766016838,3
1.4142135623731,3
1.4142135623731,3
2.23606797749979,3
3.60555127546399,3
3.16227766016838,3
1.4142135623731,3
3.16227766016838,3
2.82842712474619,3
2.82842712474619,3
2.23606797749979,3
1.4142135623731,3
3.60555127546399,3
2.23606797749979,3
2.82842712474619,3
3.16227766016838,3
2.23606797749979,3
2.23606797749979,3
2.82842712474619,3
2.23606797749979,3
2.23606797749979,3
2.23606797749979,3
2.82842712474619,3
2.23606797749979,3
3.60555127546399,3
3.60555127546399,3
2.23606797749979,3
2.23606797749979,3
2.82842712474619,3
2.82842712474619,3
3.60555127546399,3
3.60555127546399,3
2.23606797749979,3
3.16227766016838,3
2.82842712474619,3
3.60555127546399,3
3.16227766016838,3
3.16227766016838,3
2.23606797749979,3
2.23606797749979,3
3.16227766016838,3
2.82842712474619,3
3.16227766016838,3
2.82842712474619,3
1.4142135623731,3
2.82842712474619,3
2.23606797749979,3
2.23606797749979,3
1.4142135623731,3
2.23606797749979,3
2.82842712474619,3
2.82842712474619,3
1.4142135623731,3
2.23606797749979,3
1.4142135623731,3
2.82842712474619,3
1.4142135623731,3
3.60555127546399,3
1.4142135623731,3
2.23606797749979,3
3.16227766016838,3
2.82842712474619,3
2.23606797749979,3
1.4142135623731,3
2.82842712474619,3
2.23606797749979,3
3.16227766016838,3
2.23606797749979,3
2.23606797749979,3
1.4142135623731,3
3.60555127546399,3
2.82842712474619,3
1.4142135623731,3
3.16227766016838,3
2.82842712474619,3
2.82842712474619,3
2.82842712474619,3
1.4142135623731,3
1.4142135623731,3
1.4142135623731,3
2.82842712474619,3
2.23606797749979,3
2.23606797749979,3
2.23606797749979,3
2.23606797749979,3
2.23606797749979,3
1.4142135623731,3
3.60555127546399,3
1.4142135623731,3
2.23606797749979,3
3.16227766016838,3
2.82842712474619,3
3.60555127546399,3
2.82842712474619,3
4.24264068711928,3
1.4142135623731,3
2.23606797749979,3
2.23606797749979,4
3.16227766016838,4
2.82842712474619,4
2.23606797749979,4
2.82842712474619,4
4.24264068711928,4
1.4142135623731,4
2.23606797749979,4
2.82842712474619,4
2.82842712474619,4
3.60555127546399,4
3.60555127546399,4
3.60555127546399,4
1.4142135623731,4
2.23606797749979,4
